Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3
1271;1;Atlético-MG;Chapecoense;Domingo;0;0;0;0,667082973;0,211063204;0,121853823;0,667082973;0,211063204;0,121853823;0;0;0
1271;2;Mirassol;Botafogo;Domingo;0;0;0;0,42081448;0,280542986;0,298642534;0,42081448;0,298642534;0,280542986;0;0;0
1271;3;Remo;Santos;Domingo;0;0;0;0,356744705;0,286510591;0,356744705;0,356744705;0,356744705;0,286510591;0;0;0
1271;4;Vasco;Coritiba;Domingo;0;0;0;0,527991954;0,265504526;0,20650352;0,527991954;0,265504526;0,20650352;0;0;0
1271;5;São Paulo;Internacional;Domingo;0;0;0;0,487065952;0,274528082;0,238405966;0,487065952;0,274528082;0,238405966;0;0;0
1271;6;Grêmio;PALMEIRAS/SP;Domingo;0;0;0;0,28;0,28;0,44;0,44;0,28;0,28;0;0;0
1271;7;Corinthians;Fluminense;Domingo;0;0;0;0,411703673;0,298817182;0,289479145;0,411703673;0,298817182;0,289479145;0;0;0
1271;8;Vitória;Cruzeiro;Domingo;0;0;0;0,346245401;0,286734473;0,367020126;0,367020126;0,346245401;0,286734473;0;0;0
1271;9;FLAMENGO/RJ;Bragantino;Domingo;0;0;0;0,680851064;0,204255319;0,114893617;0,680851064;0,204255319;0,114893617;0;0;0
1271;10;Athletico-PR;Bahia;Domingo;0;0;0;0,472454473;0,280609323;0,246936204;0,472454473;0,280609323;0,246936204;0;0;0
1271;11;Tottenham;Aston Villa;Domingo;0;0;0;0,479807336;0,26732123;0,252871434;0,479807336;0,26732123;0,252871434;0;0;0
1271;12;Brighton;Arsenal;Domingo;0;0;0;0,21380937;0,257165159;0,52902547;0,52902547;0,257165159;0,21380937;0;0;0
1271;13;Roma;Inter de Milão;Domingo;0;0;0;0,379490151;0,265643105;0,354866744;0,379490151;0,354866744;0,265643105;0;0;0
1271;14;Juventus;Atalanta;Domingo;0;0;0;0,586592179;0,234636872;0,17877095;0,586592179;0,234636872;0,17877095;0;0;0
